cte	speed	angle	d_error	i_error	p_error	steering_angle	throttle	
0.1075	13.3251	-3.4025	0.0	127.1669	0.1075	-0.1486669	0.6513331	
0.094	13.829	-1.3277	-0.0135	127.2609	0.094	-0.0650608999999999	0.7349391	
0.0797	13.9502	-3.2803	-0.0143	127.3406	0.0797	-0.0574805999999999	0.7425194	
0.0656	13.9624	-1.1902	-0.0141	127.4062	0.0656	-0.0559262	0.7440738	
0.0513	14.1906	-1.0007	-0.0143	127.4575	0.0513	-0.0519174999999999	0.7480825	
0.0223	14.3718	-0.9618	-0.029	127.4798	0.0223	0.0420602	0.7579398	
-0.0075	14.8065	-0.8616	-0.0298	127.4723	-0.0075	0.0528277000000001	0.7471723	
-0.0363	15.163	1.4878	-0.0288	127.436	-0.0363	0.052624	0.747376	
-0.0363	15.163	1.4878	0.0	127.3997	-0.0363	-0.1201397	0.6798603	
-0.0501	15.2125	1.7519	-0.0138	127.3496	-0.0501	-0.0345296	0.7654704	
-0.0649	15.477	-2.5672	-0.0148	127.2847	-0.0649	-0.0255047	0.7744953	
-0.0798	15.4459	-0.4269	-0.0149	127.2049	-0.0798	-0.0218449	0.7781551	
-0.0949	15.7511	-0.2013	-0.0151	127.11	-0.0949	-0.01753	0.78247	
-0.0949	15.7511	-0.2013	0.0	127.0151	-0.0949	-0.1080351	0.6919649	
-0.1101	15.8467	-0.0019	-0.0152	126.905	-0.1101	-0.0136849999999999	0.786315	
-0.1101	15.8467	-0.0019	0.0	126.7949	-0.1101	-0.1047749	0.6952251	
-0.1255	16.0828	0.0942	-0.0154	126.6694	-0.1255	-0.00916939999999998	0.7908306	
-0.1255	16.0828	0.0942	0.0	126.5439	-0.1255	-0.1014439	0.6985561	
-0.1408	16.1372	0.2071	-0.0153	126.4031	-0.1408	-0.00644309999999991	0.7935569	
-0.1408	16.1372	0.2071	0.0	126.2623	-0.1408	-0.0981023	0.7018977	
-0.1563	16.4256	0.2753	-0.0155	126.106	-0.1563	-0.00184600000000004	0.798154	
-0.1722	16.4118	-2.0162	-0.0159	125.9338	-0.1722	0.00390620000000003	0.7960938	
-0.1722	16.4118	-2.0162	0.0	125.7616	-0.1722	-0.0913215999999999	0.7086784	
-0.1883	16.7202	0.534	-0.0161	125.5733	-0.1883	0.00868670000000007	0.7913133	
-0.1883	16.7202	0.534	0.0	125.385	-0.1883	-0.0877249999999999	0.712275	
-0.2041	16.704	0.6535	-0.0158	125.1809	-0.2041	0.0104391000000001	0.7895609	
-0.2041	16.704	0.6535	0.0	124.9768	-0.2041	-0.0841567999999999	0.7158432	
-0.2201	17.0406	0.6973	-0.016	124.7567	-0.2201	0.0152633	0.7847367	
-0.2365	17.0227	-1.6676	-0.0164	124.5202	-0.2365	0.0211798000000001	0.7788202	
-0.2365	17.0227	-1.6676	0.0	124.2837	-0.2365	-0.0769836999999999	0.7230163	
-0.2528	17.3417	0.9658	-0.0163	124.0309	-0.2528	0.0243291000000003	0.7756709	
-0.2528	17.3417	0.9658	0.0	123.7781	-0.2528	-0.0732181	0.7267819	
-0.2689	17.2962	1.0446	-0.0160999999999999	123.5092	-0.2689	0.0268707999999997	0.7731292	
-0.2689	17.2962	1.0446	0.0	123.2403	-0.2689	-0.0694603	0.7305397	
-0.2851	17.6492	1.1081	-0.0162	122.9552	-0.2851	0.0312648000000004	0.7687352	
-0.2851	17.6492	1.1081	0.0	122.6701	-0.2851	-0.0656500999999999	0.7343499	
-0.301	17.6072	1.218	-0.0159	122.3691	-0.301	0.0332308999999999	0.7667691	
-0.3176	17.9611	-1.2049	-0.0166	122.0515	-0.3176	0.0410685000000001	0.7589315	
-0.3176	17.9611	-1.2049	0.0	121.7339	-0.3176	-0.0582138999999999	0.7417861	
-0.3338	17.869	1.463	-0.0162	121.4001	-0.3338	0.0425599	0.7574401	
-0.3338	17.869	1.463	0.0	121.0663	-0.3338	-0.0543063	0.7456937	
-0.35	18.2515	1.5003	-0.0162	120.7163	-0.35	0.0464837	0.7535163	
-0.35	18.2515	1.5003	0.0	120.3663	-0.35	-0.0503663	0.7496337	
-0.3658	18.1752	1.5984	-0.0158	120.0005	-0.3658	0.0479595000000002	0.7520405	
-0.3658	18.1752	1.5984	0.0	119.6347	-0.3658	-0.0464747	0.7535253	
-0.3816	18.5469	1.6353	-0.0158	119.2531	-0.3816	0.0518668999999999	0.7481331	
-0.3976	18.4574	-0.7255	-0.016	118.8555	-0.3976	0.0566645000000001	0.7433355	
-0.3976	18.4574	-0.7255	0.0	118.4579	-0.3976	-0.0389379	0.7610621	
-0.4134	18.8334	1.8529	-0.0158	118.0445	-0.4134	0.0594354999999999	0.7405645	
-0.4134	18.8334	1.8529	0.0	117.6311	-0.4134	-0.0349511	0.7650489	
-0.4287	18.7448	1.9222	-0.0153	117.2024	-0.4287	0.0603376000000002	0.7396624	
-0.4287	18.7448	1.9222	0.0	116.7737	-0.4287	-0.0310337	0.7689663	
-0.444	19.1129	1.9448	-0.0153	116.3297	-0.444	0.0642702999999999	0.7357297	
-0.444	19.1129	1.9448	0.0	115.8857	-0.444	-0.0270857	0.7729143	
-0.4588	19.0292	2.0431	-0.0148	115.4269	-0.4588	0.0651330999999999	0.7348669	
-0.4741	19.3884	-0.2408	-0.0153	114.9528	-0.4741	0.0716672000000003	0.7283328	
-0.4741	19.3884	-0.2408	0.0	114.4787	-0.4741	-0.0196586999999999	0.7803413	
-0.4889	19.3323	2.228	-0.0148	113.9898	-0.4889	0.0725901999999999	0.7274098	
-0.4889	19.3323	2.228	0.0	113.5009	-0.4889	-0.0157209	0.7842791	
-0.5035	19.6632	2.2511	-0.0145999999999999	112.9974	-0.5035	0.0753025999999997	0.7246974	
-0.5035	19.6632	2.2511	0.0	112.4939	-0.5035	-0.0117939	0.7882061	
-0.5175	19.601	2.3189	-0.014	111.9764	-0.5175	0.0755236000000001	0.7244764	
-0.5175	19.601	2.3189	0.0	111.4589	-0.5175	-0.00795889999999996	0.7920411	
-0.5313	19.9316	2.3244	-0.0138	110.9276	-0.5313	0.0781324000000003	0.7218676	
-0.5313	19.9316	2.3244	0.0	110.3963	-0.5313	-0.00413629999999995	0.7958637	
-0.5446	19.874	2.3896	-0.0133	109.8517	-0.5446	0.0788682999999999	0.7211317	
-0.5582	20.1967	0.3329	-0.0136000000000001	109.2935	-0.5582	0.0839465000000004	0.7160535	
-0.5582	20.1967	0.3329	0.0	108.7353	-0.5582	0.00290470000000007	0.7970953	
-0.5712	20.1858	2.535	-0.013	108.1641	-0.5712	0.0840759000000001	0.7159241	
-0.5712	20.1858	2.535	0.0	107.5929	-0.5712	0.00664710000000006	0.7933529	
-0.5839	20.4636	2.5382	-0.0126999999999999	107.009	-0.5839	0.0859709999999996	0.714029	
-0.5839	20.4636	2.5382	0.0	106.4251	-0.5839	0.0103549000000001	0.7896451	
-0.596	20.4454	2.5856	-0.0121	105.8291	-0.596	0.0859709000000001	0.7140291	
-0.596	20.4454	2.5856	0.0	105.2331	-0.596	0.0139669000000001	0.7860331	
-0.6077	20.7249	2.5856	-0.0117	104.6254	-0.6077	0.0871146000000003	0.7128854	
-0.6193	20.7086	0.7855	-0.0115999999999999	104.0061	-0.6193	0.0894538999999997	0.7105461	
-0.6305	21.0096	2.6142	-0.0112	103.3756	-0.6305	0.0899244	0.7100756	
-0.6305	21.0096	2.6142	0.0	102.7451	-0.6305	0.0233549	0.7766451	
-0.6411	20.9805	2.6844	-0.0106000000000001	102.104	-0.6411	0.0897160000000004	0.710284	
-0.6411	20.9805	2.6844	0.0	101.4629	-0.6411	0.0267571	0.7732429	
-0.6512	21.2586	2.6792	-0.0101	100.8117	-0.6512	0.0900283	0.7099717	
-0.6512	21.2586	2.6792	0.0	100.1605	-0.6512	0.0300795	0.7699205	
-0.6608	21.2472	2.687	-0.00960000000000005	99.4997	-0.6608	0.0902603000000004	0.7097397	
-0.6608	21.2472	2.687	0.0	98.8389	-0.6608	0.0333211000000001	0.7666789	
-0.6698	21.5076	2.6928	-0.0089999999999999	98.1691	-0.6698	0.0897908999999994	0.710209100000001	
-0.6698	21.5076	2.6928	0.0	97.4993	-0.6698	0.0364607	0.7635393	
-0.6783	21.5117	2.6811	-0.00850000000000006	96.821	-0.6783	0.0898390000000004	0.710161	
-0.6866	21.7568	1.3479	-0.00829999999999997	96.1344	-0.6866	0.0909855999999999	0.7090144	
